Operation: Client UPDATE, Duration: 0.000160929 seconds, Memory Usage: 38392 KB
Operation: Coordinator Operation, Duration: 0.000159696 seconds, Memory Usage: 38236 KB
Operation: Node 1 Operation , Duration: 9.1359e-05 seconds, Memory Usage: 38316 KB
Operation: Client READ 2, Duration: 8.4567e-05 seconds, Memory Usage: 38392 KB
Operation: Coordinator Operation, Duration: 8.2814e-05 seconds, Memory Usage: 38236 KB
Operation: Node 2 Operation , Duration: 8.3886e-05 seconds, Memory Usage: 38168 KB
Operation: Node 1 Operation , Duration: 7.0832e-05 seconds, Memory Usage: 38316 KB
Operation: Node 2 Operation , Duration: 2.137e-05 seconds, Memory Usage: 38168 KB
Operation: Node 1 Operation , Duration: 1.8575e-05 seconds, Memory Usage: 38316 KB
Operation: Client DELETE, Duration: 0.000111126 seconds, Memory Usage: 38392 KB
Operation: Node 2 Operation , Duration: 2.1631e-05 seconds, Memory Usage: 38168 KB
Operation: Coordinator Operation, Duration: 0.000115064 seconds, Memory Usage: 38236 KB
Operation: Total Execution, Duration: 1.21204 seconds, Memory Usage: 38392 KB
